id,numero junta,provincia,canton,distrito,datos certificación,datos procesados tse
149,Junta 1159,SAN JOSE,GOICOECHEA,IPIS,168 Votos PPSO,Resultados no Procesados
150,Junta 1168,SAN JOSE,GOICOECHEA,PURRAL,165 Votos PPSO,Resultados no Procesados
151,Junta 1169,SAN JOSE,GOICOECHEA,PURRAL,163 Votos PPSO,160 Votos PPSO
152,Junta 1170,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,179 Votos PPSO
153,Junta 1177,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,176 Votos PPSO
154,Junta 1179,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,161 Votos PPSO
155,Junta 1180,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,160 Votos PPSO
156,Junta 1181,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,155 Votos PPSO
157,Junta 1182,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,179 Votos PPSO
158,Junta 1183,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,174 Votos PPSO
159,Junta 1185,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,162 Votos PPSO
160,Junta 1186,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,160 Votos PPSO
161,Junta 1187,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,Resultados no Procesados
162,Junta 1188,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,170 Votos PPSO
163,Junta 1189,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,164 Votos PPSO
164,Junta 1190,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,141 Votos PPSO
165,Junta 1191,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,Resultados no Procesados
166,Junta 1192,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,Resultados no Procesados
167,Junta 1193,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,146 Votos PPSO
168,Junta 1194,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,Resultados no Procesados
169,Junta 1195,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,169 Votos PPSO
170,Junta 1196,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,171 Votos PPSO
171,Junta 1197,SAN JOSE,GOICOECHEA,PURRAL,Certificación no disponible,189 Votos PPSO
172,Junta 1199,SAN JOSE,SANTA ANA,SANTA ANA,165 Votos PPSO,5 Votos PPSO
173,Junta 1205,SAN JOSE,SANTA ANA,SANTA ANA,155 Votos PPSO,Resultados no Procesados
174,Junta 1211,SAN JOSE,SANTA ANA,SANTA ANA,118 Votos PPSO,Resultados no Procesados
175,Junta 1222,SAN JOSE,SANTA ANA,POZOS,Certificación no disponible,143 Votos PPSO
176,Junta 1232,SAN JOSE,SANTA ANA,POZOS,Votos no Legibles,Resultados no Procesados
177,Junta 1236,SAN JOSE,SANTA ANA,POZOS,Certificación no disponible,145 Votos PPSO
178,Junta 1256,SAN JOSE,SANTA ANA,URUCA,Certificación no disponible,143 Votos PPSO 
179,Junta 1259,SAN JOSE,SANTA ANA,PIEDADES,Certificación no disponible,171 Votos PPSO
180,Junta 1261,SAN JOSE,SANTA ANA,PIEDADES,Certificación no disponible,161 Votos PPSO
181,Junta 1271,SAN JOSE,SANTA ANA,BRASIL,Certificación no disponible,140 Votos PPSO
182,Junta 1276,SAN JOSE,ALAJUELITA,ALAJUELITA,196 Votos PPSO,207 Votos PPSO
183,Junta 1276,SAN JOSE,ALAJUELITA,ALAJUELITA,196 Votos PPSO,207 Votos PPSO
184,Junta 1392,SAN JOSE,VAZQUEZ DE CORONADO,SAN ISIDRO,Posible Intercambio de Información de los Votos Entre PPSO y PPSD (Revisar Miembros de Mesa pertenecientes a Partidos)
185,Junta 1395,SAN JOSE,VAZQUEZ DE CORONADO,SAN ISIDRO,Sin datos en la Certificación,0 Votos PPSO
186,Junta 1397,SAN JOSE,VAZQUEZ DE CORONADO,SAN ISIDRO,Certificación no disponible,157 Votos PPSO
187,Junta 1400,SAN JOSE,VAZQUEZ DE CORONADO,SAN ISIDRO,0 Votos PPSO,0 Votos PPSO (Revisar Miembros de Mesa pertenecientes a Partidos)
187,Junta 1412,SAN JOSE,VAZQUEZ DE CORONADO,DULCE NOMBRE DE JESUS,164 Votos PPSO,0 Votos PPSO
188,Junta 1422,SAN JOSE,VAZQUEZ DE CORONADO,DULCE NOMBRE DE JESUS,Votos no Legibles,0 Votos PPSO
189,Junta 1431,SAN JOSE,VAZQUEZ DE CORONADO,PATALILLO,153 Votos PPSO,0 Votos PPSO (153 Votos PUSC - Unidad Social Cristiana)
190,Junta 1438,SAN JOSE,VAZQUEZ DE CORONADO,PATALILLO,Certificación no disponible,160 Votos PPSO
191,Junta 1444,SAN JOSE,VAZQUEZ DE CORONADO,PATALILLO,Certificación no disponible,168 Votos PPSO
192,Junta 1449,SAN JOSE,VAZQUEZ DE CORONADO,PATALILLO,163 Votos PPSO,162 Votos PPSO
193,Junta 1450,SAN JOSE,VAZQUEZ DE CORONADO,PATALILLO,132 Votos PPSO,Resultados no Procesados
194,Junta 1454,SAN JOSE,VAZQUEZ DE CORONADO,CARAJAL,178 Votos PPSO,167 Votos PPSO
195,Junta 1457,SAN JOSE,VAZQUEZ DE CORONADO,CARAJAL,171 Votos PPSO,162 Votos PPSO
196,Junta 1464,SAN JOSE,ACOSTA,SAN IGNACIO,Certificación no disponible,172 Votos PPSO
197,Junta 1468,SAN JOSE,ACOSTA,SAN IGNACIO,Certificación no disponible,211 Votos PPSO
198,Junta 1531,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,149 Votos PPSO
199,Junta 1532,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,15 Votos PPSO
200,Junta 1533,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,173 Votos PPSO
201,Junta 1534,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,159 Votos PPSO
202,Junta 1535,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,170 Votos PPSO
203,Junta 1536,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,177 Votos PPSO
204,Junta 1537,SAN JOSE,TIBAS,SAN JUAN,Certificación no disponible,166 Votos PPSO
